City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Viransehir,TR,37.2353,39.7631,70.52,41,0,3.49,Clear
1,Busselton,AU,-33.65,115.3333,58.59,82,100,8.1,Clouds
2,Ushuaia,AR,-54.8,-68.3,44.26,45,0,5.75,Clear
3,Rodrigues Alves,BR,-7.738,-72.6509,89.8,85,100,1.34,Clouds
4,Hermanus,ZA,-34.4187,19.2345,57.42,54,18,20.33,Clouds
5,Dikson,RU,73.5069,80.5464,18.72,95,100,5.99,Clouds
6,Cruzeiro Do Sul,BR,-29.5128,-51.9853,75.49,80,100,0.43,Clouds
7,Adamantina,BR,-21.6853,-51.0725,74.84,86,86,12.66,Rain
8,Safaga,EG,26.7292,33.9365,80.64,66,15,10.13,Clouds
9,Ponta Do Sol,PT,32.6667,-17.1,70.0,63,44,5.61,Clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,82.42,71,0,17.0,Rain
11,Werda,BW,-25.2667,23.2833,72.46,13,0,16.04,Clear
12,Bam,IR,29.106,58.357,70.3,39,0,1.36,Clear
13,Mount Pleasant,US,32.7941,-79.8626,83.25,66,0,9.22,Clear
14,Cape Town,ZA,-33.9258,18.4232,59.11,52,0,23.02,Clear
15,Imola,IT,44.3523,11.7158,63.82,63,0,12.03,Clear
16,Dingle,PH,10.9995,122.6711,75.65,92,59,6.06,Rain
17,Nzega,RW,-2.479,29.5564,56.75,88,14,4.72,Clouds
18,Port Alfred,ZA,-33.5906,26.891,54.18,79,100,4.0,Rain
19,Souillac,MU,-20.5167,57.5167,71.98,88,20,4.61,Clouds
20,Rocha,UY,-34.4833,-54.3333,68.99,78,5,10.07,Clear
21,Bredasdorp,ZA,-34.5322,20.0403,56.71,46,99,14.05,Clouds
22,Tyulyachi,RU,55.8913,50.2399,27.55,97,100,12.5,Snow
23,Lodwar,KE,3.1191,35.5973,78.15,68,72,8.95,Rain
24,Chupa,RU,66.27,33.0549,25.29,89,68,1.66,Clouds
25,Mizdah,LY,31.4451,12.9801,72.43,28,4,6.93,Clear
26,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,9.22,Rain
27,Breves,BR,-1.6822,-50.4803,91.18,39,26,3.51,Clouds
28,Alta Floresta,BR,-9.8756,-56.0861,94.82,43,20,4.61,Clouds
29,Qaqortoq,GL,60.7167,-46.0333,32.83,82,30,2.89,Clouds
30,Yola,NG,9.2,12.4833,84.18,35,20,2.84,Clouds
31,Codrington,AU,-38.2667,141.9667,45.21,82,29,8.21,Clouds
32,Hithadhoo,MV,-0.6,73.0833,80.82,81,40,18.12,Clouds
33,Inhambane,MZ,-23.865,35.3833,71.69,80,31,8.7,Clouds
34,Iqaluit,CA,63.7506,-68.5145,10.13,78,20,9.22,Clouds
35,San Cristobal,VE,7.7669,-72.225,82.58,86,99,1.59,Rain
36,Vila Velha,BR,-20.3297,-40.2925,80.55,78,20,17.27,Clouds
37,Upernavik,GL,72.7868,-56.1549,23.99,93,100,7.56,Clouds
38,Vestmanna,FO,62.1564,-7.1664,43.72,76,100,10.36,Clouds
39,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,39,7.87,Clouds
40,Port Elizabeth,ZA,-33.918,25.5701,55.31,63,83,8.01,Clouds
41,Margate,GB,51.3813,1.3862,57.31,90,100,7.0,Clouds
42,Ribeira Grande,PT,38.5167,-28.7,64.8,63,40,10.36,Clouds
43,Morant Bay,JM,17.8815,-76.4093,89.22,72,27,12.44,Clouds
44,Mantua,IT,45.1667,10.7833,55.98,85,0,2.59,Clear
45,Cayeli,TR,41.0923,40.7292,68.67,61,100,5.17,Clouds
46,Malakal,SS,9.5334,31.6605,70.12,93,100,2.84,Clouds
47,Bonavista,CA,48.6499,-53.1147,51.21,97,100,16.75,Rain
48,Rosario,AR,-32.9468,-60.6393,85.95,39,0,12.66,Clear
49,Meulaboh,ID,4.1363,96.1285,75.61,93,54,3.96,Clouds
50,Yar-Sale,RU,66.8333,70.8333,16.57,94,93,7.43,Clouds
51,Olinda,BR,-8.0089,-34.8553,82.13,65,40,11.5,Clouds
52,Chuy,UY,-33.6971,-53.4616,68.32,84,18,7.31,Clouds
53,Honningsvag,NO,70.9821,25.9704,33.55,80,100,8.05,Clouds
54,Necochea,AR,-38.5473,-58.7368,78.15,42,11,16.02,Clouds
55,Georgetown,MY,5.4112,100.3354,78.73,95,20,4.61,Clouds
56,Arroyo,ES,41.6096,-4.7969,60.22,74,100,19.57,Clouds
57,Saldanha,ZA,-33.0117,17.9442,59.05,65,0,21.74,Clear
58,Filingue,NE,14.3521,3.3168,88.83,18,4,4.36,Clear
59,Salym,RU,60.0625,71.4789,13.62,95,35,2.39,Clouds
60,Port-Cartier,CA,50.0334,-66.8654,51.48,64,30,16.62,Clouds
61,Aasiaat,GL,68.7098,-52.8699,13.59,93,81,8.84,Clouds
62,Jamestown,US,42.097,-79.2353,57.52,77,100,8.05,Clouds
63,Tarrafal,CV,15.2833,-23.7667,79.59,78,30,13.11,Clouds
64,Codajas,BR,-3.8367,-62.0569,98.69,23,100,3.09,Clouds
65,Hualmay,PE,-11.0964,-77.6139,70.39,77,97,12.35,Clouds
66,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,0,4.61,Clear
67,Husavik,IS,66.0449,-17.3389,33.3,83,68,9.48,Clouds
68,Vuktyl,RU,63.8567,57.3094,13.1,95,94,1.99,Clouds
69,Sayyan,YE,15.1718,44.3244,57.87,67,100,4.47,Clouds
70,Salalah,OM,17.0151,54.0924,78.89,83,0,4.61,Clear
71,Alappuzha,IN,9.49,76.3264,79.7,81,100,1.79,Clouds
72,Folkestone,GB,51.0833,1.1833,58.73,98,95,11.01,Clouds
73,Morondava,MG,-20.2833,44.2833,76.66,74,0,2.39,Clear
74,Balugaon,IN,20.1667,85.1,67.6,67,7,2.17,Clear
75,East London,ZA,-33.0153,27.9116,56.91,76,100,20.74,Rain
76,Eyl,SO,7.9803,49.8164,79.61,78,92,14.5,Clouds
77,Sena Madureira,BR,-9.0656,-68.6569,92.8,44,100,3.38,Clouds
78,Paamiut,GL,61.994,-49.6678,30.25,61,100,13.78,Clouds
79,Sao Filipe,CV,14.8961,-24.4956,80.19,73,41,13.71,Clouds
80,Gambela,ET,8.25,34.5833,69.53,94,100,1.9,Clouds
81,Andenes,NO,69.3143,16.1194,33.93,93,100,12.66,Drizzle
82,Mahebourg,MU,-20.4081,57.7,75.25,88,20,4.61,Clouds
83,Toropets,RU,56.4978,31.6353,30.78,97,100,7.16,Clouds
84,Garowe,SO,8.4054,48.4845,75.27,73,100,14.2,Clouds
85,Jaromer,CZ,50.3562,15.9214,53.38,90,99,5.75,Clouds
86,Lagoa,PT,39.05,-27.9833,62.02,65,99,22.48,Clouds
87,Upata,VE,8.0086,-62.3989,86.4,51,100,1.52,Clouds
88,Pucallpa,PE,-8.3791,-74.5539,75.24,100,75,4.61,Drizzle
89,Luderitz,NA,-26.6481,15.1594,62.53,58,0,24.11,Clear
90,Tarsus,TR,36.9188,34.8784,66.07,49,6,3.04,Clear
91,Nara,JP,34.6851,135.8049,53.49,54,16,6.22,Clouds
92,Victoria,HK,22.2855,114.1577,77.38,85,92,5.99,Clouds
93,Mattru,SL,7.6244,-11.8332,75.24,95,50,2.8,Rain
94,York,US,40.1254,-77.0,79.79,58,75,8.05,Clouds
95,Botwood,CA,49.1499,-55.3482,54.9,92,100,11.16,Clouds
96,Kutum,SD,14.2,24.6667,78.78,21,68,6.29,Clouds
97,Yarmouth,US,41.7057,-70.2286,77.14,72,0,8.05,Clear
98,Muyezerskiy,RU,63.9333,31.65,21.04,97,73,3.89,Clouds
99,Nanortalik,GL,60.1432,-45.2371,32.94,79,15,4.54,Clouds
100,Pabna,BD,24.0,89.25,70.93,60,0,4.79,Clear
101,Clyde River,CA,70.4692,-68.5914,12.43,79,75,12.66,Clouds
102,Cruzilia,BR,-21.8386,-44.8083,70.16,85,100,1.32,Clouds
103,Thompson,CA,55.7435,-97.8558,26.76,86,75,4.61,Clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,18.41,Clouds
105,Saint-Augustin,CA,51.226,-58.6502,44.65,99,100,2.98,Rain
106,Grootfontein,NA,-19.5667,18.1167,65.77,59,61,3.44,Clouds
107,Tasiilaq,GL,65.6145,-37.6368,37.56,87,100,14.47,Clouds
108,Itaqui,BR,-29.1253,-56.5531,74.28,87,72,12.48,Clouds
109,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,20,6.91,Clouds
110,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,95,75,4.61,Clouds
111,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,11.5,Clear
112,Ostrovnoy,RU,68.0531,39.5131,24.21,84,100,7.94,Clouds
113,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,20.71,Rain
114,Vestmannaeyjar,IS,63.4427,-20.2734,42.78,63,100,12.95,Clouds
115,Klaksvik,FO,62.2266,-6.589,45.52,79,100,25.55,Clouds
116,Mhango,TZ,-3.2833,32.85,74.93,61,100,4.83,Clouds
117,Mindelo,CV,16.8901,-24.9804,78.35,69,75,18.41,Clouds
118,Killybegs,IE,54.6333,-8.45,50.32,89,100,11.72,Clouds
119,Qaanaaq,GL,77.484,-69.3632,14.45,69,100,6.11,Clouds
120,Miandoab,IR,36.9694,46.1027,58.64,41,17,4.05,Clouds
121,Henties Bay,NA,-22.116,14.2845,56.25,90,6,6.22,Clear
122,Kalakamati,BW,-20.5929,27.3121,76.69,24,48,8.05,Clouds
123,Kralendijk,BQ,12.15,-68.2667,85.98,74,40,3.44,Clouds
124,Kudahuvadhoo,MV,2.6708,72.8944,80.96,81,100,13.67,Clouds
125,Tiznit,MA,29.5833,-9.5,62.69,75,100,3.8,Clouds
126,Matagami,CA,49.7502,-77.6328,26.71,74,100,12.66,Clouds
127,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.14,74,97,6.08,Clouds
128,Oswego,US,43.4501,-76.1497,57.15,73,2,12.12,Clear
129,San Andres,CO,12.5847,-81.7006,86.02,74,20,5.75,Rain
130,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,42.94,74,91,3.0,Clouds
131,Longyearbyen,SJ,78.2186,15.6401,24.64,93,75,4.61,Snow
132,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,20,4.61,Clouds
133,Ornskoldsvik,SE,63.2909,18.7153,31.15,86,100,4.61,Clouds
134,Cockburn Town,TC,21.4612,-71.1419,82.58,75,21,17.6,Clouds
135,Itarema,BR,-2.9248,-39.9167,79.66,72,36,19.01,Clouds
136,Ilulissat,GL,69.2167,-51.1,24.82,74,20,14.97,Clouds
137,Straseni,MD,47.1414,28.6103,49.93,54,2,1.34,Clear
138,Chazuta,PE,-6.5742,-76.1367,92.25,58,100,3.53,Clouds
139,Goderich,CA,43.7501,-81.7165,46.9,66,69,12.66,Clouds
140,Kati,ML,12.7441,-8.0726,76.41,48,100,6.93,Clouds
141,Ahar,IR,38.4774,47.0699,57.69,44,24,5.32,Clouds
142,Soyo,AO,-6.1349,12.3689,79.03,85,11,8.28,Clouds
143,Cap Malheureux,MU,-19.9842,57.6142,75.47,77,5,1.99,Clear
144,Abu Dhabi,AE,24.4667,54.3667,86.95,57,0,3.44,Clear
145,Berlevag,NO,70.8578,29.0864,26.55,74,100,4.61,Clouds
146,Sorland,NO,67.667,12.6934,37.26,57,100,11.61,Rain
147,Sur,OM,22.5667,59.5289,82.2,63,98,9.8,Clouds
148,Touros,BR,-5.1989,-35.4608,78.15,75,40,15.46,Clouds
149,Dubrovnik,HR,42.6481,18.0922,64.04,72,0,10.36,Clear
150,Gaoua,BF,10.2992,-3.2508,80.67,42,18,4.07,Clouds
151,Aquiraz,BR,-3.9014,-38.3911,84.04,77,6,14.79,Clear
152,Aranos,NA,-24.1333,19.1167,66.4,20,2,16.13,Clear
153,Dzaoudzi,YT,-12.7887,45.2699,80.49,78,20,11.5,Clouds
154,Tabuk,PH,17.4189,121.4443,72.59,88,76,2.1,Clouds
155,Jalgaon,IN,21.0167,75.5667,70.57,47,3,6.73,Clear
156,Padang,ID,-0.9492,100.3543,78.85,87,47,4.12,Clouds
157,Monrovia,LR,6.3005,-10.7969,76.77,85,88,6.04,Rain
158,Mairi,BR,-11.7114,-40.1489,88.29,31,8,15.26,Clear
159,Mananjary,MG,-21.2167,48.3333,73.44,92,7,7.25,Clear
160,Saint George,US,37.1041,-113.5841,69.42,21,0,11.5,Clear
161,Ambilobe,MG,-13.2,49.05,73.02,83,16,5.57,Clouds
162,Khash,IR,28.2211,61.2158,64.78,44,8,0.6,Clear
163,Ilembo,TZ,-9.25,33.3833,59.58,68,27,2.55,Clouds
164,Tutoia,BR,-2.7619,-42.2744,80.19,79,34,18.43,Clouds
165,Gornopravdinsk,RU,60.05,69.9,12.47,95,11,3.15,Clouds
166,Kayes,ML,14.0,-11.0,90.86,33,100,5.35,Clouds
167,Forestville,US,38.8451,-76.875,83.73,54,0,5.75,Clear
168,Ahmadpur East,PK,29.1431,71.2598,77.56,29,16,3.33,Clouds
169,Port Shepstone,ZA,-30.7414,30.455,60.96,76,100,18.92,Rain
170,Eydhafushi,MV,5.1033,73.0708,82.24,77,60,7.05,Clouds
171,Banda Aceh,ID,5.5577,95.3222,78.51,84,32,3.04,Clouds
172,Hluti,SZ,-27.2167,31.6167,61.95,86,100,8.03,Rain
173,Horki,BY,54.2861,30.9842,34.41,97,100,10.63,Clouds
174,Richards Bay,ZA,-28.783,32.0377,63.68,92,100,20.83,Rain
175,Port Said,EG,31.2565,32.2841,76.98,88,0,8.05,Clear
176,Hurghada,EG,27.2574,33.8129,82.44,42,0,0.0,Clear
177,Mbandaka,CD,0.0487,18.2603,72.86,90,8,2.84,Rain
178,Hambantota,LK,6.1241,81.1185,78.4,83,100,3.67,Rain
179,Radishchevo,RU,52.85,47.8833,44.74,100,100,6.42,Clouds
180,Brae,GB,60.3964,-1.353,46.13,66,67,17.25,Clouds
181,Kolosovka,RU,56.4678,73.611,18.99,94,24,5.08,Clouds
182,Raudeberg,NO,61.9875,5.1352,40.87,1,0,5.99,Clear
183,Alekseyevskaya,RU,50.2896,42.1845,55.81,66,100,29.06,Clouds
184,Lokosovo,RU,61.1333,74.8167,11.64,92,28,3.91,Clouds
185,Otjimbingwe,NA,-22.35,16.1333,71.22,30,0,4.94,Clear
186,Aswan,EG,24.0934,32.907,85.3,42,31,13.8,Clouds
187,Kavaratti,IN,10.5669,72.642,83.19,71,47,4.34,Clouds
188,Man,CI,7.4125,-7.5538,73.53,86,32,2.42,Clouds
189,Eirunepe,BR,-6.6603,-69.8736,78.76,90,100,4.38,Rain
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,88,99,20.94,Clouds
191,Salisbury,GB,51.0693,-1.7957,55.65,98,75,5.75,Rain
192,Sorrento,IT,40.626,14.3744,67.57,81,0,0.0,Clear
193,Schio,IT,45.7124,11.3574,57.61,88,3,2.8,Clear
194,Puerto El Triunfo,SV,13.2833,-88.55,95.86,84,91,9.1,Clouds
195,Aracati,BR,-4.5617,-37.7697,79.59,72,15,16.69,Clouds
196,Treia,IT,43.3106,13.3115,62.46,72,32,6.08,Clouds
197,Ouadda,CF,8.0777,22.4007,69.53,92,100,4.09,Clouds
198,Bure,ET,10.7,37.0667,56.1,95,98,2.84,Clouds
199,Gavle,SE,60.6745,17.1417,32.92,86,99,2.64,Clouds
200,Rawdon,CA,46.0501,-73.7159,53.55,62,35,9.17,Clouds
201,Kumta,IN,14.4167,74.4,77.97,68,47,3.13,Clouds
202,Gulabpura,IN,25.9,74.6667,73.54,29,65,2.64,Clouds
203,Panaba,MX,21.2833,-88.2667,89.19,48,12,19.15,Clouds
204,Ancud,CL,-41.8697,-73.8203,46.56,76,89,26.78,Rain
205,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,100,100,6.91,Clouds
206,Guna,IN,24.65,77.3167,69.85,42,100,4.7,Clouds
207,Nouadhibou,MR,20.931,-17.0347,71.58,73,0,17.27,Clear
208,Umm Lajj,SA,25.0213,37.2685,83.01,60,86,19.1,Clouds
209,Awbari,LY,26.5921,12.7805,77.43,22,0,7.92,Clear
210,Omboue,GA,-1.5746,9.2618,77.81,90,6,5.12,Clear
211,Imbituba,BR,-28.24,-48.6703,73.9,98,100,6.62,Clouds
212,Cururupu,BR,-1.8283,-44.8683,80.13,78,19,6.15,Clouds
213,Lasa,IT,46.6166,10.7002,50.88,93,68,4.88,Clouds
214,Togur,RU,58.3631,82.8265,19.15,89,93,5.01,Clouds
215,Impfondo,CG,1.6381,18.0667,76.24,80,100,2.57,Clouds
216,Mbuji-Mayi,CD,-6.15,23.6,71.98,90,98,2.26,Clouds
217,Carnarvon,AU,-24.8667,113.6333,66.79,67,2,23.69,Clear
218,Picota,PE,-6.9197,-76.3304,91.89,67,100,1.36,Clouds
219,Cidreira,BR,-30.1811,-50.2056,69.44,89,100,13.31,Clouds
220,Faya,SA,18.3851,42.4509,57.31,63,98,1.79,Clouds
221,Cabedelo,BR,-6.9811,-34.8339,81.27,72,70,13.78,Clouds
222,Torbay,CA,47.6666,-52.7314,55.58,95,100,12.66,Clouds
223,Bengkulu,ID,-3.8004,102.2655,74.53,92,46,5.14,Clouds
224,Hamilton,US,39.1834,-84.5333,57.24,91,100,10.36,Mist
225,Barabinsk,RU,55.3571,78.357,23.81,66,11,5.06,Clouds
226,Wilmington,US,34.2257,-77.9447,82.31,57,0,9.22,Clear
227,San Ramon,US,37.7799,-121.978,68.76,36,0,9.22,Clear
228,Qeshm,IR,26.9581,56.2719,78.67,62,0,5.5,Clear
229,Gasa,PS,31.5,34.4667,79.05,61,75,4.94,Clouds
230,Maseru,LS,-29.3167,27.4833,53.19,63,20,5.44,Clouds
231,Izhevskoye,RU,54.5567,40.8703,35.76,99,100,10.02,Clouds
